base_model,rows,classification_accuracy,success_rate,generation_valid_rate,analysis_usable_rate,parse_error_rate,validation_error_rate,empty_resolution_steps_rate,bad_row_count,llm_unavailable_rate,avg_resolution_steps,avg_final_answer_length,mean_latency_ms,median_latency_ms,p95_latency_ms,avg_total_cost_usd,sum_total_cost_usd,avg_slm_cost_usd,sum_slm_cost_usd,avg_llm_cost_usd,sum_llm_cost_usd,avg_total_input_tokens,sum_total_input_tokens,avg_total_output_tokens,sum_total_output_tokens,avg_total_tokens,sum_total_tokens,avg_max_output_tokens,sum_max_output_tokens
llm1,10000,0.9663,0.9993,0.9993,0.9992,0.0001,0.0007,0.0007,8,0.0,4.484,259.1989,5741.837577778333,4605.819859425537,6743.848847970366,0.0066535127999998965,66.53512799999896,0.0,0.0,0.0066535127999998965,66.53512799999896,880.6906,8806906,228.2282,2282282,1108.9188,11089188,1024.0,10240000
llm2,10000,0.9663,0.9996,0.9996,0.9982,0.0014,0.0004,0.0004,18,0.0,4.668,201.1246,3878.5946628364504,2411.7131466045976,4439.970640290994,0.003085175699999897,30.85175699999897,0.0,0.0,0.003085175699999897,30.85175699999897,866.3295,8663295,162.0624,1620624,1028.3919,10283919,1024.0,10240000
slm1,20000,0.9663,0.99985,0.99985,0.92475,0.0751,0.00015,0.00015,1505,0.0003,4.39015,244.84895,2829.4545032674796,1969.2657280247658,4053.785350883845,0.0008670144749998766,17.34028949999753,0.0006545591249998758,13.091182499997515,0.00021245534999999376,4.249106999999875,1122.70095,22454019,257.23575,5144715,1379.9367,27598734,1024.0,20480000
slm2,20000,0.9663,0.9978,0.9978,0.9972,0.00275,0.0022,0.00215,56,0.0,3.68685,124.1783,2209.8577620422584,1196.851544547826,3234.866154973861,0.00097199737499981,19.4399474999962,0.0007001415749998022,14.002831499996043,0.00027185579999999094,5.437115999999819,951.11695,19022339,139.7039,2794078,1090.82085,21816417,1024.0,20480000
