analysis_config,support,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
llm_only__base_llm1__mem_rag_bm25,10000,0.9663,0.9679640205392982,0.965780526358692,0.9668558833316445,0.9663097075174375
llm_only__base_llm2__mem_rag_bm25,10000,0.9663,0.9679640205392982,0.965780526358692,0.9668558833316445,0.9663097075174375
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,10000,0.9663,0.9679640205392982,0.965780526358692,0.9668558833316445,0.9663097075174375
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,10000,0.9663,0.9679640205392982,0.965780526358692,0.9668558833316445,0.9663097075174375
slm_only__base_slm1__mem_rag_bm25,10000,0.9663,0.9679640205392982,0.965780526358692,0.9668558833316445,0.9663097075174375
slm_only__base_slm2__mem_rag_bm25,10000,0.9663,0.9679640205392982,0.965780526358692,0.9668558833316445,0.9663097075174375
