analysis_config,mean_latency_ms,tickets_per_minute_per_worker
llm_only__base_llm1__mem_rag_bm25,5741.837577778333,10.449616379294303
llm_only__base_llm2__mem_rag_bm25,3878.5946628364504,15.469520590770234
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,2120.665181496483,28.29300944039643
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,1448.5928916254313,41.41950464265736
slm_only__base_slm1__mem_rag_bm25,3538.243825038476,16.957565099219114
slm_only__base_slm2__mem_rag_bm25,2971.1226324590853,20.194386911031096
