baseline_config,comparison_config,baseline_avg_cost_per_ticket_usd,comparison_avg_cost_per_ticket_usd,absolute_savings_per_ticket_usd,relative_savings_rate,projected_47k_savings_usd
llm_only__base_llm2__mem_rag_bm25,llm_only__base_llm1__mem_rag_bm25,0.003085175699999897,0.0066535127999998965,-0.0035683370999999996,-1.1566074178530963,-167.71184369999997
llm_only__base_llm2__mem_rag_bm25,llm_only__base_llm2__mem_rag_bm25,0.003085175699999897,0.003085175699999897,0.0,0.0,0.0
llm_only__base_llm2__mem_rag_bm25,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,0.003085175699999897,0.0010794700999998776,0.0020057056000000193,0.6501106565827308,94.2681632000009
llm_only__base_llm2__mem_rag_bm25,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,0.003085175699999897,0.001243887789999818,0.001841287910000079,0.5968178441182914,86.54053177000371
llm_only__base_llm2__mem_rag_bm25,slm_only__base_slm1__mem_rag_bm25,0.003085175699999897,0.0006545588499998758,0.002430616850000021,0.7878374155481979,114.23899195000098
llm_only__base_llm2__mem_rag_bm25,slm_only__base_slm2__mem_rag_bm25,0.003085175699999897,0.0007001069599998022,0.002385068740000095,0.7730738771215443,112.09823078000446
