router_family,rows,classification_accuracy,success_rate,generation_valid_rate,analysis_usable_rate,parse_error_rate,validation_error_rate,empty_resolution_steps_rate,bad_row_count,llm_unavailable_rate,avg_resolution_steps,avg_final_answer_length,mean_latency_ms,median_latency_ms,p95_latency_ms,avg_total_cost_usd,sum_total_cost_usd,avg_slm_cost_usd,sum_slm_cost_usd,avg_llm_cost_usd,sum_llm_cost_usd,avg_total_input_tokens,sum_total_input_tokens,avg_total_output_tokens,sum_total_output_tokens,avg_total_tokens,sum_total_tokens,avg_max_output_tokens,sum_max_output_tokens
llm_only,20000,0.9663,0.99945,0.99945,0.9987,0.00075,0.00055,0.00055,26,0.0,4.576,230.16175,4810.216120307392,4065.3409843798727,6426.680024934467,0.004869344249999897,97.38688499999793,0.0,0.0,0.004869344249999897,97.38688499999793,873.51005,17470201,195.1453,3902906,1068.65535,21373107,1024.0,20480000
slm_dominant,20000,0.9663,1.0,1.0,0.9636,0.0364,0.0,0.0,728,0.00015,4.0942,185.82425,1784.629036560957,1668.8922150060534,3631.7402275628397,0.0011616789449998479,23.233578899996957,0.0006773677949998391,13.54735589999678,0.00048431114999998473,9.686222999999694,1106.7058,22134116,209.4165,4188330,1316.1223,26322446,1024.0,20480000
slm_only,20000,0.9663,0.99765,0.99765,0.95835,0.04145,0.00235,0.0023,833,0.00015,3.9828,183.203,3254.6832287487805,2036.8100060150027,3935.9269986860454,0.000677332904999839,13.54665809999678,0.000677332904999839,13.54665809999678,0.0,0.0,967.1121,19342242,187.52315,3750463,1154.63525,23092705,1024.0,20480000
