analysis_config,rows,mean_latency_ms,median_latency_ms,p95_latency_ms
llm_only__base_llm1__mem_rag_bm25,10000,5741.837577778333,4605.819859425537,6743.848847970366
llm_only__base_llm2__mem_rag_bm25,10000,3878.5946628364504,2411.7131466045976,4439.970640290994
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,10000,2120.665181496483,1902.6547549292445,4018.906161806079
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,10000,1448.5928916254313,1145.6715939566493,3203.248641639948
slm_only__base_slm1__mem_rag_bm25,10000,3538.243825038476,2086.584553006105,4074.0780481602997
slm_only__base_slm2__mem_rag_bm25,10000,2971.1226324590853,1361.293938010931,3261.602428508922
