memory,mean_accuracy,mean_groundedness,mean_latency_ms,mean_cost_usd,kb_attach_rate
none,0.28,0.0,543.6206206667816,0.0030032158333333273,0.0
rag,0.28,0.5732517242431637,3256.058166666572,0.01096602666666666,1.0
salience,0.28,0.5732517242431637,879.1112452084276,0.010167825833333328,1.0
transcript,0.28,0.0,572.5325475834433,0.0032820024999999915,0.0
