router,mean_accuracy,mean_groundedness,mean_schema_validity,mean_latency_ms,mean_cost_usd,slm_share
hybrid_specialist,0.28,0.2781885266304015,1.0,1798.678271874829,0.016283399999999993,0.0
llm_first,0.28,0.290844529867172,1.0,1076.9958056880098,0.003733746249999993,0.865
slm_dominant,0.28,0.290844529867172,1.0,1062.8178575310797,0.0005471568749999935,1.0
