model_used,mean_accuracy,mean_groundedness,mean_latency_ms,mean_cost_usd
llm,0.27312775330396477,0.2796938662224403,1713.9956765967802,0.01722548458149779
slm,0.28418230563002683,0.290844529867172,1068.689995794409,0.0005433662868632645
