analysis_config,rows,mean_overall_manual_quality,median_overall_manual_quality,manual_quality_pass_rate_7,avg_cost_usd,avg_latency_ms,mean_category_understanding_manual,mean_answer_actionable_manual,mean_answer_complete_manual,mean_resolution_steps_correct_manual,mean_escalation_appropriate_manual,mean_policy_grounded_manual
llm_only__base_llm1__mem_rag_bm25,76,4.9868421052631575,5.0,0.17105263157894737,0.006565184210526303,4640.438277421421,1.0394736842105263,1.105263157894737,0.8947368421052632,1.3421052631578947,1.855263157894737,1.1842105263157894
llm_only__base_llm2__mem_rag_bm25,76,4.697368421052632,5.0,0.05263157894736842,0.003035881578947358,2783.840069773999,1.0921052631578947,1.013157894736842,0.9473684210526315,1.131578947368421,1.8026315789473684,1.118421052631579
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,76,4.7368421052631575,5.0,0.09210526315789473,0.001052230263157887,2118.9638111942545,0.7105263157894737,1.368421052631579,0.881578947368421,1.1973684210526316,1.763157894736842,1.0921052631578947
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,76,3.973684210526316,4.0,0.02631578947368421,0.0010897368421052473,1390.797145398162,1.013157894736842,0.9210526315789473,0.9342105263157895,0.9736842105263158,1.7236842105263157,0.9078947368421053
slm_only__base_slm1__mem_rag_bm25,76,5.0394736842105265,5.0,0.14473684210526316,0.0006467960526315697,2449.190589559485,0.6710526315789473,1.4078947368421053,0.9078947368421053,1.2763157894736843,1.881578947368421,1.118421052631579
slm_only__base_slm2__mem_rag_bm25,76,4.2894736842105265,4.5,0.05263157894736842,0.0006859999999999828,1944.2518228346385,1.013157894736842,0.9473684210526315,1.0,1.013157894736842,1.8421052631578947,0.9473684210526315
