router_family,rows,mean_overall_manual_quality,median_overall_manual_quality,manual_quality_pass_rate_7,avg_cost_usd,avg_latency_ms,mean_category_understanding_manual,mean_answer_actionable_manual,mean_answer_complete_manual,mean_resolution_steps_correct_manual,mean_escalation_appropriate_manual,mean_policy_grounded_manual
llm_only,152,4.842105263157895,5.0,0.1118421052631579,0.0048005328947368295,3712.13917359771,1.0657894736842106,1.0592105263157894,0.9210526315789473,1.236842105263158,1.8289473684210527,1.1513157894736843
slm_dominant,152,4.355263157894737,5.0,0.05921052631578947,0.0010709835526315672,1754.8804782962084,0.8618421052631579,1.144736842105263,0.9078947368421053,1.0855263157894737,1.743421052631579,1.0
slm_only,152,4.6644736842105265,5.0,0.09868421052631579,0.0006663980263157763,2196.7212061970617,0.8421052631578947,1.1776315789473684,0.9539473684210527,1.144736842105263,1.861842105263158,1.0328947368421053
