base_model,rows,mean_overall_manual_quality,median_overall_manual_quality,manual_quality_pass_rate_7,avg_cost_usd,avg_latency_ms,mean_category_understanding_manual,mean_answer_actionable_manual,mean_answer_complete_manual,mean_resolution_steps_correct_manual,mean_escalation_appropriate_manual,mean_policy_grounded_manual
llm1,76,4.9868421052631575,5.0,0.17105263157894737,0.006565184210526303,4640.438277421421,1.0394736842105263,1.105263157894737,0.8947368421052632,1.3421052631578947,1.855263157894737,1.1842105263157894
llm2,76,4.697368421052632,5.0,0.05263157894736842,0.003035881578947358,2783.840069773999,1.0921052631578947,1.013157894736842,0.9473684210526315,1.131578947368421,1.8026315789473684,1.118421052631579
slm1,152,4.8881578947368425,5.0,0.11842105263157894,0.0008495131578947282,2284.0772003768698,0.6907894736842105,1.388157894736842,0.8947368421052632,1.236842105263158,1.8223684210526316,1.105263157894737
slm2,152,4.131578947368421,4.0,0.039473684210526314,0.0008878684210526151,1667.5244841164003,1.013157894736842,0.9342105263157895,0.9671052631578947,0.993421052631579,1.7828947368421053,0.9276315789473685
