analysis_config,rows,mean_overall_manual_quality,manual_quality_pass_rate_7,avg_cost_usd,avg_latency_ms
llm_only__base_llm1__mem_rag_bm25,76,4.9868421052631575,0.17105263157894737,0.006565184210526303,4640.438277421421
llm_only__base_llm2__mem_rag_bm25,76,4.697368421052632,0.05263157894736842,0.003035881578947358,2783.840069773999
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,76,4.7368421052631575,0.09210526315789473,0.001052230263157887,2118.9638111942545
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,76,3.973684210526316,0.02631578947368421,0.0010897368421052473,1390.797145398162
slm_only__base_slm1__mem_rag_bm25,76,5.0394736842105265,0.14473684210526316,0.0006467960526315697,2449.190589559485
slm_only__base_slm2__mem_rag_bm25,76,4.2894736842105265,0.05263157894736842,0.0006859999999999828,1944.2518228346385
